id;date;price;free_float;shares
313;2026-09-21;;0.9409;71259702
315;2026-09-21;;0.8422;5848011
317;2026-09-21;;0.9333;566875513
34;2026-09-21;;0.5869;4680000
35;2026-09-21;;0.6625;197278
359;2026-09-21;;0.2269;98145200
36;2026-09-21;;0.4989;288288
37;2026-09-21;;0.2698;5154049
38;2026-09-21;;0.8313;100000
39;2026-09-21;;1;16592821
4;2026-09-21;;0.5382;4670283
40;2026-09-21;;1;750000
41;2026-09-21;;1;80234375
42;2026-09-21;;1;991222
43;2026-09-21;;0.8297;9233586
44;2026-09-21;;0.75;5133333
45;2026-09-21;;0.6863;1431808
47;2026-09-21;;0.785;15328170
48;2026-09-21;;0.485;9320000
50;2026-09-21;;1;390710
52;2026-09-21;;0.3127;10600000
54;2026-09-21;;1;153446663
55;2026-09-21;;0.7036;24451610
56;2026-09-21;;0.5056;37059946
57;2026-09-21;;1;36000000
58;2026-09-21;;0.7232;42000260
59;2026-09-21;;0.3852;49583333
6;2026-09-21;;0.422;5463121
60;2026-09-21;;0.49;5993666
62;2026-09-21;;0.2745;106691000
63;2026-09-21;;1;702562700
64;2026-09-21;;0.9296;2112421867
65;2026-09-21;;0.8561;1843899204
66;2026-09-21;;1;12825883
67;2026-09-21;;1;168426561
68;2026-09-21;;0.6334;331939199
69;2026-09-21;;1;570000
70;2026-09-21;;0.9428;566875513
71;2026-09-21;;0.4912;56875000
72;2026-09-21;;0.6642;6000000
74;2026-09-21;;0.417;75000000
76;2026-09-21;;0.7405;159455239
79;2026-09-21;;0.9499;82017960
80;2026-09-21;;1;28936000
81;2026-09-21;;0.7733;99418092
83;2026-09-21;;0.6933;330000
87;2026-09-21;;1;70229021
88;2026-09-21;;0.3409;8007202
9;2026-09-21;;0.3886;16712744
90;2026-09-21;;0.95;45230000
95;2026-09-21;;1;28532982
97;2026-09-21;;1;15792461
98;2026-09-21;;0.3305;86061900
10;2026-09-10;2080;0.6766;309375
100;2026-09-10;55.2;0.9237;13318449
101;2026-09-10;311.5;0.8048;5835000
103;2026-09-10;165.7;1;45867891
104;2026-09-10;213;0.4462;3000000
106;2026-09-10;267;0.2816;13649739
107;2026-09-10;810;0.4665;5349810
108;2026-09-10;360;0.2312;13999084
109;2026-09-10;382;0.6217;10250000
11;2026-09-10;898;0.72;1485000
110;2026-09-10;0.92;0.875;7230626
111;2026-09-10;400.5;1;7449923
112;2026-09-10;733;0.9433;1000000
117;2026-09-10;318.5;0.4741;1140000
118;2026-09-10;18.88;0.3843;306687711
12;2026-09-10;131;0.4172;1960000
120;2026-09-10;580;0.4002;105000
121;2026-09-10;72.2;0.8627;18472000
122;2026-09-10;163.8;0.487;12848962
124;2026-09-10;281.5;0.3137;67077452
127;2026-09-10;45.4;0.3167;28500000
128;2026-09-10;575;0.913;3400000
129;2026-09-10;57.3;0.5029;5975580
13;2026-09-10;3.12;0.5119;136057708
130;2026-09-10;144;0.0569;40200
132;2026-09-10;16.9;0.8248;14012004
133;2026-09-10;18.6;0.9008;19960994
134;2026-09-10;8.86;0.5725;13461428
135;2026-09-10;144.8;0.3887;40000000
136;2026-09-10;4020;1;72000
137;2026-09-10;0.048;0.6167;218654496
14;2026-09-10;7.05;0.2371;12960000
140;2026-09-10;168;0.601;12600000
141;2026-09-10;185.2;0.8376;19190000
142;2026-09-10;135;0.0289;7730394
149;2026-09-10;170;0.5118;34262370
151;2026-09-10;47.1;1;55400000
153;2026-09-10;4.41;0.2174;31053147
154;2026-09-10;802;0.7065;255136
155;2026-09-10;223.45;1;2576520000
157;2026-09-10;432;0.6541;960500
158;2026-09-10;65.6;0.3998;1146931
16;2026-09-10;772;0.8049;12300000
160;2026-09-10;97;0.8566;194777282
162;2026-09-10;261;0.7788;7730000
163;2026-09-10;65.6;1;206001780
166;2026-09-10;0.13;0.087;1139771344
167;2026-09-10;4.945;0.7791;69473243
168;2026-09-10;11.78;1;6542399
171;2026-09-10;5.8;0.7379;55535334
173;2026-09-10;12.9;0.8006;7611972
174;2026-09-10;127;0.4482;5840453
175;2026-09-10;2.18;0.6685;16440757
176;2026-09-10;135.95;1;298761710
177;2026-09-10;157.25;1;537582089
178;2026-09-10;0.7;0.5593;154102442
18;2026-09-10;19.5;0.5461;1104704
180;2026-09-10;151.4;0.3746;52800000
181;2026-09-10;62.3;0.55;65042963
182;2026-09-10;106.5;1;2729551
183;2026-09-10;2460;0.6434;460340
184;2026-09-10;138;0.2365;2400000
186;2026-09-10;11.38;0.5377;18494242
188;2026-09-10;37.1;0.3846;11020600
189;2026-09-10;162.8;0.715;10622130
190;2026-09-10;56.6;0.8926;3360000
191;2026-09-10;99.6;1;30000000
193;2026-09-10;182;1;4000000
194;2026-09-10;165.8;0.8807;6650000
195;2026-09-10;13.6;0.4219;11664219
196;2026-09-10;122.2;0.469;38900000
198;2026-09-10;135.8;0.4604;10119600
199;2026-09-10;24.7;0.4185;13500000
2;2026-09-10;1445;0.6449;5488858
20;2026-09-10;1270;0.1947;228492
200;2026-09-10;255;0.8032;1827000
201;2026-09-10;8.565;1;99844394
202;2026-09-10;3.87;0.9133;40374641
203;2026-09-10;49.8;0.6186;119632
205;2026-09-10;173.45;0.876;3341581714
207;2026-09-10;170.6;0.6387;9500000
208;2026-09-10;81.5;1;9268200
209;2026-09-10;15.52;0.8966;43229135
211;2026-09-10;438;0.7144;1827000
215;2026-09-10;143;0.2997;15800000
216;2026-09-10;48;0.3927;3318027
217;2026-09-10;11.66;0.6077;4080546
218;2026-09-10;544.2;0.8966;30000000
219;2026-09-10;216;0.3008;6285712
220;2026-09-10;86.8;0.5384;6015000
221;2026-09-10;264;0.6162;30701875
222;2026-09-10;113.8;0.5218;17543522
223;2026-09-10;27.06;0.7598;39154606
224;2026-09-10;154.5;0.2184;12800000
226;2026-09-10;18.1;0.6288;10126018
227;2026-09-10;31.9;0.2743;72000000
228;2026-09-10;96.1;1;50000000
229;2026-09-10;297.6;1;7773966
